2025-07-22 14:30:42,178 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,179 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,179 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,180 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,180 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,181 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,181 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,182 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,183 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,183 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,184 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,187 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:30:42,187 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:21,611 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-22 14:36:22,297 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-22 14:36:22,298 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-22 14:36:22,304 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-22 14:36:22,307 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-22 14:36:22,661 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,663 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,664 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,665 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,666 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,666 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,667 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,668 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,668 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,670 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,671 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,671 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,672 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,673 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,674 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,674 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,675 camera.py, line 82, ERROR:read:读取图像错误!!!!
